Latitude,Longitude,Time,Label,Location
37.774929,-122.419415,Mon Oct 05 08:24:41 +0000 2015,1,San Francisco  CA
42.407211,-71.382437,Mon Oct 05 08:24:44 +0000 2015,1,Massachusetts
43.710173,7.261953,Mon Oct 05 08:24:47 +0000 2015,1,Nice  France
53.576865,-2.428219,Mon Oct 05 08:24:48 +0000 2015,1,Bolton
29.760427,-95.369803,Mon Oct 05 08:24:49 +0000 2015,1,Houston  TX
33.836081,-81.163725,Mon Oct 05 08:24:51 +0000 2015,1,South Carolina
40.751119,14.495106,Mon Oct 05 08:24:52 +0000 2015,2,Italy
57.708870,11.974560,Mon Oct 05 08:24:54 +0000 2015,1,Göteborg  Sweden
43.048122,-76.147424,Mon Oct 05 08:25:00 +0000 2015,1,Syracuse  NY   PB Gardens  FL
32.776475,-79.931051,Mon Oct 05 08:25:00 +0000 2015,1,ABC News   Charleston  SC
34.233137,-102.410749,Mon Oct 05 08:25:04 +0000 2015,1,EARTH 
52.119508,5.194365,Mon Oct 05 08:25:04 +0000 2015,1,U.K.
51.507351,-0.127758,Mon Oct 05 08:25:08 +0000 2015,1,London  England
53.480759,-2.242631,Mon Oct 05 08:25:10 +0000 2015,1,Manchester
39.429041,-76.355703,Mon Oct 05 08:25:10 +0000 2015,1,Joppa  MD
40.678178,-73.944158,Mon Oct 05 08:25:13 +0000 2015,1,Brooklyn NY
51.507351,-0.127758,Mon Oct 05 08:25:20 +0000 2015,1,London  England
44.068202,-114.742041,Mon Oct 05 08:28:06 +0000 2015,1,id
51.147427,-2.718454,Mon Oct 05 08:28:10 +0000 2015,1,Glastonbury  UK
52.355518,-1.174320,Mon Oct 05 08:28:11 +0000 2015,1,England
53.480759,-2.242631,Mon Oct 05 08:28:14 +0000 2015,1,Manchester  England
6.524379,3.379206,Mon Oct 05 08:28:19 +0000 2015,1,Lagos  Nigeria.
51.246271,-1.992213,Mon Oct 05 08:28:23 +0000 2015,1,South West Wiltshire
36.850769,-76.285873,Mon Oct 05 08:28:24 +0000 2015,1,Norfolk  VA
36.072635,-79.791975,Mon Oct 05 08:28:28 +0000 2015,1,Greensboro  NC
48.856614,2.352222,Mon Oct 05 08:28:29 +0000 2015,1,Paris  FRANCE
36.332020,-94.118537,Mon Oct 05 08:28:30 +0000 2015,1,Rogers  AR
51.345178,-2.252502,Mon Oct 05 08:28:31 +0000 2015,1,Bradford on Avon  England
61.218056,-149.900278,Mon Oct 05 08:28:33 +0000 2015,1,Anchorage
50.740852,-4.633270,Mon Oct 05 08:28:33 +0000 2015,1,CRACKINGTON HAVEN  UK
33.520661,-86.802490,Mon Oct 05 08:28:38 +0000 2015,1,Birmingham
38.104086,-122.256637,Mon Oct 05 08:28:39 +0000 2015,1,Vallejo CA
39.320980,-111.093731,Mon Oct 05 08:28:41 +0000 2015,1,ÜT    .           .       
33.836081,-81.163725,Mon Oct 05 08:28:42 +0000 2015,1,South Carolina
36.072635,-79.791975,Mon Oct 05 08:28:44 +0000 2015,1,Greensboro  NC
40.416775,-3.703790,Mon Oct 05 08:28:45 +0000 2015,1,Madrid
54.942631,-2.736329,Mon Oct 05 08:28:46 +0000 2015,1,Brampton  Cumbria  UK
50.777213,-3.999461,Mon Oct 05 08:28:47 +0000 2015,1,Devon
47.551493,-101.002012,Mon Oct 05 08:28:51 +0000 2015,1,North Dakota
47.751074,-120.740139,Mon Oct 05 08:28:51 +0000 2015,1,NW WA
40.416775,-3.703790,Mon Oct 05 08:28:54 +0000 2015,1,Madrid  España
40.900524,-8.490672,Mon Oct 05 08:29:01 +0000 2015,1,S o Jo o da Madeira  Portugal
45.523062,-122.676482,Mon Oct 05 08:29:07 +0000 2015,1,Portland  Oregon
36.072635,-79.791975,Mon Oct 05 08:29:09 +0000 2015,1,Greensboro  NC
52.597134,-2.559296,Mon Oct 05 08:29:13 +0000 2015,1,Much Wenlock
36.072635,-79.791975,Mon Oct 05 08:29:15 +0000 2015,1,Greensboro  NC
40.970104,-5.663540,Mon Oct 05 08:29:16 +0000 2015,1,ESPAÑA SALAMANCA
24.299174,54.697277,Mon Oct 05 08:29:18 +0000 2015,1,Abu Dhabi
33.448377,-112.074037,Mon Oct 05 08:29:23 +0000 2015,1,Phoenix  AZ
6.524379,3.379206,Mon Oct 05 08:29:24 +0000 2015,1,Lagos  Nigeria 
51.507351,-0.127758,Mon Oct 05 08:29:50 +0000 2015,1,London
6.524379,3.379206,Mon Oct 05 08:29:52 +0000 2015,1,Lagos  Nigeria
51.507351,-0.127758,Mon Oct 05 08:29:54 +0000 2015,1,London
6.524379,3.379206,Mon Oct 05 08:29:55 +0000 2015,1,Lagos  Nigeria
6.524379,3.379206,Mon Oct 05 08:29:58 +0000 2015,1,lagos nigeria
6.524379,3.379206,Mon Oct 05 08:29:59 +0000 2015,1,lagos nigeria
3.139003,101.686855,Mon Oct 05 08:30:01 +0000 2015,1,Kuala Lumpur
32.981006,-80.032587,Mon Oct 05 08:30:02 +0000 2015,1,Brooklyn Ny  Goose Creek Sc
36.028700,14.214888,Mon Oct 05 08:30:03 +0000 2015,1,Xlendi  Gozo
37.947979,-122.060796,Mon Oct 05 08:30:05 +0000 2015,1,Pleasant Hill  CA
26.011201,-80.149490,Mon Oct 05 08:30:06 +0000 2015,1,Hollywood  Florida
34.000710,-81.034814,Mon Oct 05 08:30:08 +0000 2015,1,Columbia  SC
36.850769,-76.285873,Mon Oct 05 08:30:10 +0000 2015,1,Norfolk  VA
41.408969,-75.662412,Mon Oct 05 08:30:11 +0000 2015,1,Scranton PA 
-28.827980,153.285717,Mon Oct 05 08:30:16 +0000 2015,1,Lismore  NSW AUSTRALIA
-1.292066,36.821946,Mon Oct 05 08:30:18 +0000 2015,1,Nairobi
40.569789,-79.764770,Mon Oct 05 08:30:19 +0000 2015,1,New Kensington  PA
30.293069,120.139824,Mon Oct 05 08:30:21 +0000 2015,2,Hangzhou   Yinchuan
3.595196,98.672223,Mon Oct 05 08:30:22 +0000 2015,1,Medan sumatera Utara
37.713617,-122.250368,Mon Oct 05 08:30:22 +0000 2015,1,Bay Area  Ca
